dataset,method_name,k,acc_mean,acc_std,ll_mean,pred_mean,total_mean,mem_mean,acc_diff,pred_speedup
phoneme,emb_cosine,64,0.9101,0.0077,0.2019,0.5896,0.9928,5361.2216,-0.0074,0.3675
phoneme,emb_cosine,128,0.9114,0.0079,0.1977,1.1025,1.5107,10322.7054,-0.0061,0.1965
phoneme,emb_cosine,256,0.9123,0.0053,0.193,2.153,2.5592,20243.2553,-0.0052,0.1006
phoneme,emb_euclidean,16,0.9049,0.0091,0.2226,0.2519,0.6662,1640.1695,-0.0126,0.8602
phoneme,emb_euclidean,32,0.9086,0.0093,0.2075,0.3692,0.8622,2878.9514,-0.0089,0.5869
phoneme,emb_euclidean,64,0.9099,0.0079,0.2021,0.5901,0.99,5361.2216,-0.0076,0.3672
phoneme,emb_euclidean,128,0.9116,0.0074,0.1974,1.1025,1.5061,10322.6245,-0.0059,0.1965
phoneme,emb_euclidean,256,0.9121,0.0054,0.1932,2.1535,2.5549,20243.2553,-0.0054,0.1006
phoneme,full_tabicl,4323,0.9175,0.006,0.1888,0.2167,0.5359,769.3788,0.0,1.0
phoneme,random,16,0.802,0.0035,0.4102,0.932,1.4213,1640.0318,-0.1154,0.2325
phoneme,random,32,0.815,0.0074,0.3863,1.0565,1.4662,2878.9514,-0.1025,0.2051
phoneme,random,64,0.8294,0.0117,0.3568,1.2732,1.6703,5361.2216,-0.0881,0.1702
phoneme,random,128,0.8379,0.008,0.3403,1.7862,2.1935,10322.7863,-0.0796,0.1213
phoneme,random,256,0.8525,0.0099,0.3217,2.8515,3.2564,20243.2553,-0.0649,0.076
phoneme,raw_cosine,16,0.9079,0.0056,0.2263,0.2553,0.6882,1640.6021,-0.0096,0.8488
phoneme,raw_cosine,32,0.9082,0.0066,0.2083,0.3714,0.8742,2879.3841,-0.0093,0.5833
phoneme,raw_cosine,64,0.9105,0.0073,0.2032,0.5906,0.9968,5361.6543,-0.007,0.3668
phoneme,raw_cosine,128,0.9121,0.0076,0.2002,1.1035,1.5054,10323.138,-0.0054,0.1963
phoneme,raw_cosine,256,0.9125,0.0055,0.194,2.154,2.5563,20243.6879,-0.005,0.1006
phoneme,raw_euclidean,16,0.908,0.0078,0.2214,0.2555,0.6675,1640.6021,-0.0094,0.8479
phoneme,raw_euclidean,32,0.9056,0.0077,0.2102,0.3728,0.8692,2879.3841,-0.0118,0.5812
phoneme,raw_euclidean,64,0.9108,0.0079,0.2016,0.5909,0.984,5361.6543,-0.0067,0.3666
phoneme,raw_euclidean,128,0.911,0.0071,0.2001,1.1036,1.4988,10323.0572,-0.0065,0.1963
phoneme,raw_euclidean,256,0.9119,0.0063,0.1955,2.1539,2.5497,20243.6879,-0.0056,0.1006
