accuracy,log_loss,fit_time,predict_time,total_time,peak_memory_mb,n_train,n_test,dataset,method_name,k,run,selection_method,selection_space,method,space,t_stage12,t_retrieval,t_stage3
1.0,0.05321956397990877,0.6835551261901855,0.40102362632751465,1.0845787525177002,160.137728,120,30,iris,full_tabicl,120,0,none,none,,,,,
0.9666666666666667,0.07376487039278008,0.36403441429138184,0.15005016326904297,0.5140845775604248,221.519872,120,30,iris,random,16,0,random,embedding,random,embedding,0.014818429946899414,0.014158010482788086,0.12067651748657227
1.0,0.05989474628755316,0.3611471652984619,0.05317282676696777,0.4143199920654297,256.555008,120,30,iris,random,32,0,random,embedding,random,embedding,0.014400959014892578,0.008806943893432617,0.029646873474121094
0.9666666666666667,0.06061252501214409,0.32187485694885254,0.05383706092834473,0.37571191787719727,330.600448,120,30,iris,random,64,0,random,embedding,random,embedding,0.014426708221435547,0.009095430374145508,0.029991865158081055
0.9666666666666667,0.09490141425651813,0.3087339401245117,0.06658744812011719,0.3753213882446289,219.309568,120,30,iris,raw_euclidean,16,0,euclidean,raw,euclidean,raw,0.014493942260742188,0.021236181259155273,0.029360055923461914
0.9666666666666667,0.07200467166417837,0.35866689682006836,0.04624772071838379,0.40491461753845215,254.344704,120,30,iris,raw_euclidean,32,0,euclidean,raw,euclidean,raw,0.014459848403930664,0.0012502670288085938,0.029152631759643555
1.0,0.05729350630021746,0.31775403022766113,0.046613454818725586,0.3643674850463867,328.181248,120,30,iris,raw_euclidean,64,0,euclidean,raw,euclidean,raw,0.01438760757446289,0.0012660026550292969,0.02955913543701172
1.0,0.0669765808617844,0.3002040386199951,0.057562828063964844,0.35776686668395996,219.309568,120,30,iris,raw_cosine,16,0,cosine,raw,cosine,raw,0.01440119743347168,0.01206827163696289,0.029616117477416992
0.9666666666666667,0.08435150336574786,0.31330275535583496,0.04603743553161621,0.35934019088745117,254.344704,120,30,iris,raw_cosine,32,0,cosine,raw,cosine,raw,0.014410257339477539,0.0012159347534179688,0.029014110565185547
1.0,0.0623407065121944,0.31385374069213867,0.04683685302734375,0.3606905937194824,328.181248,120,30,iris,raw_cosine,64,0,cosine,raw,cosine,raw,0.014464139938354492,0.0011913776397705078,0.029781818389892578
0.9666666666666667,0.07005448541745785,0.301501989364624,0.04471445083618164,0.34621644020080566,219.29984,120,30,iris,emb_euclidean,16,0,euclidean,embedding,euclidean,embedding,0.014434337615966797,0.0013442039489746094,0.028596878051757812
0.9666666666666667,0.0733569537146575,0.31145572662353516,0.04521918296813965,0.3566749095916748,254.334976,120,30,iris,emb_euclidean,32,0,euclidean,embedding,euclidean,embedding,0.01445460319519043,0.0012423992156982422,0.029194355010986328
1.0,0.05933442580341377,0.30210351943969727,0.045381784439086914,0.3474853038787842,328.17152,120,30,iris,emb_euclidean,64,0,euclidean,embedding,euclidean,embedding,0.014316320419311523,0.0011777877807617188,0.02956223487854004
0.9666666666666667,0.06940736720218385,0.30290722846984863,0.04526996612548828,0.3481771945953369,219.29984,120,30,iris,emb_cosine,16,0,cosine,embedding,cosine,embedding,0.014610767364501953,0.0013248920440673828,0.028996706008911133
0.9666666666666667,0.0729557744717614,0.33359694480895996,0.045118093490600586,0.37871503829956055,254.334976,120,30,iris,emb_cosine,32,0,cosine,embedding,cosine,embedding,0.014477252960205078,0.0012600421905517578,0.0290524959564209
1.0,0.06180375106894871,0.3136436939239502,0.045409202575683594,0.3590528964996338,328.17152,120,30,iris,emb_cosine,64,0,cosine,embedding,cosine,embedding,0.014353275299072266,0.0011899471282958984,0.029533863067626953
0.9666666666666667,0.0628227568121106,0.2815067768096924,0.04491472244262695,0.32642149925231934,158.401024,120,30,iris,full_tabicl,120,1,none,none,,,,,
0.9666666666666667,0.08279692665788423,0.3197972774505615,0.052001953125,0.3717992305755615,219.29984,120,30,iris,random,16,1,random,embedding,random,embedding,0.014338970184326172,0.008833885192871094,0.028508424758911133
0.9666666666666667,0.06387999946279538,0.3197011947631836,0.052641868591308594,0.3723430633544922,254.334976,120,30,iris,random,32,1,random,embedding,random,embedding,0.01433110237121582,0.00884246826171875,0.029138803482055664
0.9666666666666667,0.04737623356610754,0.3051445484161377,0.05335068702697754,0.35849523544311523,328.17152,120,30,iris,random,64,1,random,embedding,random,embedding,0.014467239379882812,0.008975744247436523,0.029583454132080078
0.9666666666666667,0.08622241723237378,0.30617499351501465,0.04564213752746582,0.35181713104248047,219.309568,120,30,iris,raw_euclidean,16,1,euclidean,raw,euclidean,raw,0.014428377151489258,0.0012629032135009766,0.028559446334838867
0.9666666666666667,0.0956344632404798,0.3126091957092285,0.0457611083984375,0.358370304107666,254.344704,120,30,iris,raw_euclidean,32,1,euclidean,raw,euclidean,raw,0.014297246932983398,0.001226186752319336,0.02884817123413086
0.9666666666666667,0.07228267868294193,0.30416297912597656,0.0461883544921875,0.35035133361816406,328.181248,120,30,iris,raw_euclidean,64,1,euclidean,raw,euclidean,raw,0.014312982559204102,0.0011792182922363281,0.029308557510375977
0.9666666666666667,0.06852465034553305,0.30980777740478516,0.04568600654602051,0.35549378395080566,219.309568,120,30,iris,raw_cosine,16,1,cosine,raw,cosine,raw,0.01443934440612793,0.0012364387512207031,0.028604745864868164
0.9666666666666667,0.08590640398828352,0.3654212951660156,0.04572796821594238,0.411149263381958,254.344704,120,30,iris,raw_cosine,32,1,cosine,raw,cosine,raw,0.01430511474609375,0.0012404918670654297,0.028803348541259766
0.9666666666666667,0.06128307700446957,0.3074791431427002,0.04615664482116699,0.3536357879638672,328.181248,120,30,iris,raw_cosine,64,1,cosine,raw,cosine,raw,0.014320611953735352,0.0011668205261230469,0.0292813777923584
0.9666666666666667,0.09303837350699387,0.3089132308959961,0.044470787048339844,0.35338401794433594,219.29984,120,30,iris,emb_euclidean,16,1,euclidean,embedding,euclidean,embedding,0.014327049255371094,0.0012404918670654297,0.028580427169799805
0.9666666666666667,0.08262065723247705,0.3146347999572754,0.0451200008392334,0.3597548007965088,254.334976,120,30,iris,emb_euclidean,32,1,euclidean,embedding,euclidean,embedding,0.01450657844543457,0.0012619495391845703,0.029027462005615234
0.9666666666666667,0.06124283617660069,0.3015882968902588,0.045264482498168945,0.34685277938842773,328.17152,120,30,iris,emb_euclidean,64,1,euclidean,embedding,euclidean,embedding,0.014330148696899414,0.0011699199676513672,0.029434919357299805
0.9666666666666667,0.09234700741315403,0.3098447322845459,0.0441899299621582,0.3540346622467041,219.29984,120,30,iris,emb_cosine,16,1,cosine,embedding,cosine,embedding,0.014287948608398438,0.0012233257293701172,0.028352737426757812
0.9666666666666667,0.08275597965494343,0.30615830421447754,0.044950246810913086,0.3511085510253906,254.334976,120,30,iris,emb_cosine,32,1,cosine,embedding,cosine,embedding,0.014343976974487305,0.0012357234954833984,0.02903604507446289
0.9666666666666667,0.060820502406961637,0.3157002925872803,0.04518318176269531,0.3608834743499756,328.17152,120,30,iris,emb_cosine,64,1,cosine,embedding,cosine,embedding,0.014267444610595703,0.0012006759643554688,0.029395341873168945
0.9666666666666667,0.030064616899946276,0.27999114990234375,0.04478287696838379,0.32477402687072754,158.401024,120,30,iris,full_tabicl,120,2,none,none,,,,,
0.9666666666666667,0.04281322841077766,0.31036376953125,0.0524592399597168,0.3628230094909668,219.29984,120,30,iris,random,16,2,random,embedding,random,embedding,0.014307022094726562,0.008928537368774414,0.02890777587890625
